PC Name,Caste,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Mahasamund,GEN,Chhattisgarh,Chandu Lal Sahu (CHANDU BHAIYA),Bharatiya Janta Party,1515747,1131209,0.746,1217,0.001,2014
Mahesana,GEN,Gujarat,Patel Jayshreeben Kanubhai,Bharatiya Janta Party,1498219,1004258,0.67,208891,0.208,2014
Mandi,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,1150408,726094,0.631,39856,0.055,2014
Mandsour,GEN,Madhya Pradesh,Sudhir Gupta,Bharatiya Janta Party,1626571,1161349,0.714,303649,0.261,2014
Mangaldoi,GEN,Assam,Ramen Deka,Bharatiya Janta Party,1515676,1233237,0.814,22884,0.019,2014
Morena,GEN,Madhya Pradesh,Anoop Mishra,Bharatiya Janta Party,1702492,854279,0.502,132981,0.156,2014
Mumbai North,GEN,Maharashtra,Gopal Chinayya Shetty,Bharatiya Janta Party,1783870,946562,0.531,446582,0.472,2014
Mumbai North Central,GEN,Maharashtra,Poonam Mahajan Alias Poonam Vajendla Rao,Bharatiya Janta Party,1738894,845292,0.486,186771,0.221,2014
Mumbai North East,GEN,Maharashtra,Kirit Somaiya,Bharatiya Janta Party,1668357,861761,0.517,317122,0.368,2014
Muzaffarpur,GEN,Bihar,Ajay Nishad,Bharatiya Janta Party,1551363,948887,0.612,222422,0.234,2014
Mysore,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,1723134,1159594,0.673,31608,0.027,2014
Nagaur,GEN,Rajasthan,C R Choudhary,Bharatiya Janta Party,1678662,1004019,0.598,75218,0.075,2014
Nagpur,GEN,Maharashtra,Gadkari Nitin Jairam,Bharatiya Janta Party,1900787,1085058,0.571,284828,0.263,2014
Nainital-Udhamsingh Nagar,GEN,Uttarakhand,Bhagat Singh Koshyari,Bharatiya Janta Party,1610810,1101435,0.684,284717,0.258,2014
Narsapuram,GEN,Andhra Pradesh,Gokaraju Ganga Raju,Bharatiya Janta Party,1325143,1088951,0.822,85351,0.078,2014
Navsari,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1764622,1160747,0.658,558116,0.481,2014
Nawada,GEN,Bihar,Giriraj Singh,Bharatiya Janta Party,1675789,884441,0.528,140157,0.158,2014
New Delhi,GEN,Delhi,Meenakashi Lekhi,Bharatiya Janta Party,1490147,969812,0.651,162708,0.168,2014
North East Delhi,GEN,Delhi,Manoj Tiwari,Bharatiya Janta Party,1957707,1317338,0.673,144084,0.109,2014
North Goa,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,515441,406631,0.789,105599,0.26,2014
Nowgong,GEN,Assam,Rajen Gohain,Bharatiya Janta Party,1523881,1230074,0.807,143559,0.117,2014
Pali,GEN,Rajasthan,P P Choudhary,Bharatiya Janta Party,1893030,1095587,0.579,399039,0.364,2014
Panchmahal,GEN,Gujarat,Chauhan Prabhatsinh Pratapsinh,Bharatiya Janta Party,1576667,933461,0.592,170596,0.183,2014
Paschim Champaran,GEN,Bihar,Dr. Sanjay Jaiswal,Bharatiya Janta Party,1413073,854800,0.605,110254,0.129,2014
Pataliputra,GEN,Bihar,Ram Kripal Yadav,Bharatiya Janta Party,1736074,978649,0.564,40322,0.041,2014
Patan,GEN,Gujarat,Liladharbhai Khodaji Vaghela,Bharatiya Janta Party,1628641,955799,0.587,138719,0.145,2014
Patna Sahib,GEN,Bihar,Shatrughana Sinha,Bharatiya Janta Party,1946249,882262,0.453,265805,0.301,2014
Porbandar,GEN,Gujarat,Radadiya Vithalbhai Hansrajbhai,Bharatiya Janta Party,1539223,809433,0.526,267971,0.331,2014
Pune,GEN,Maharashtra,Anil Shirole,Bharatiya Janta Party,1835836,993274,0.541,315769,0.318,2014
Purvi Champaran,GEN,Bihar,Radha Mohan Singh,Bharatiya Janta Party,1452963,822671,0.566,192163,0.234,2014
Raipur,GEN,Chhattisgarh,Ramesh Bais,Bharatiya Janta Party,1904230,1250845,0.657,171646,0.137,2014
Rajgarh,GEN,Madhya Pradesh,Rodmal Nagar,Bharatiya Janta Party,1578748,1010724,0.64,228737,0.226,2014
Rajkot,GEN,Gujarat,Kundariya Mohanbhai Kalyanjibhai,Bharatiya Janta Party,1655717,1057069,0.638,246428,0.233,2014
Rajnandgaon,GEN,Chhattisgarh,Abhishek Singh,Bharatiya Janta Party,1588095,1178296,0.742,235911,0.2,2014
Rajsamand,GEN,Rajasthan,Hariom Singh Rathore,Bharatiya Janta Party,1699401,982119,0.578,395705,0.403,2014
Ranchi,GEN,Jharkhand,Ram Tahal Choudhary,Bharatiya Janta Party,1648464,1049783,0.637,199303,0.19,2014
Raver,GEN,Maharashtra,Khadase Raksha Nikhil,Bharatiya Janta Party,1593370,1009213,0.633,318068,0.315,2014
Rewa,GEN,Madhya Pradesh,Janardan Mishra,Bharatiya Janta Party,1544719,830002,0.537,168726,0.203,2014
Sabarkantha,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,1615840,1094002,0.677,84455,0.077,2014
Sagar,GEN,Madhya Pradesh,Laxmi Narayan Yadav,Bharatiya Janta Party,1520184,891929,0.587,120737,0.135,2014
Sangli,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,1649107,1046659,0.635,239292,0.229,2014
Saran,GEN,Bihar,Rajiv Pratap Rudy,Bharatiya Janta Party,1538744,863254,0.561,40948,0.047,2014
Satna,GEN,Madhya Pradesh,Ganesh Singh,Bharatiya Janta Party,1458084,913444,0.627,8688,0.01,2014
Secundrabad,GEN,Telangana,Bandaru Dattatreya,Bharatiya Janta Party,1893647,1003769,0.53,254735,0.254,2014
Sheohar,GEN,Bihar,Rama Devi,Bharatiya Janta Party,1489724,842894,0.566,136239,0.162,2014
Shimoga,GEN,Karnataka,B. S. Yeddyurappa,Bharatiya Janta Party,1562241,1129008,0.723,363305,0.322,2014
Sidhi,GEN,Madhya Pradesh,Riti Pathak,Bharatiya Janta Party,1736050,989396,0.57,108046,0.109,2014
Sikar,GEN,Rajasthan,Sumedhanand Saraswati,Bharatiya Janta Party,1770424,1065750,0.602,239196,0.224,2014
Siwan,GEN,Bihar,Om Prakash Yadav,Bharatiya Janta Party,1563860,884021,0.565,113847,0.129,2014
Sonipat,GEN,Haryana,Ramesh Chander,Bharatiya Janta Party,1417188,985637,0.696,77414,0.079,2014
South Delhi,GEN,Delhi,Ramesh Bidhuri,Bharatiya Janta Party,1752741,1102410,0.629,107000,0.097,2014
South Goa,GEN,Goa,Adv. Narendra Keshav Sawaikar,Bharatiya Janta Party,545336,410369,0.753,32330,0.079,2014
Surat,GEN,Gujarat,Darshana Vikram Jardosh,Bharatiya Janta Party,1484068,947922,0.639,533190,0.562,2014
Surendranagar,GEN,Gujarat,Fatepara Devajibhai Govindbhai,Bharatiya Janta Party,1656657,944677,0.57,202907,0.215,2014
Tehri Garhwal,GEN,Uttarakhand,Mala Rajya Laxmi Shah,Bharatiya Janta Party,1352845,776214,0.574,192503,0.248,2014
Tezpur,GEN,Assam,Ram Prasad Sarmah,Bharatiya Janta Party,1259568,980688,0.779,86020,0.088,2014
Tonk-Sawai Madhopur,GEN,Rajasthan,Sukhbir Singh Jaunapuria,Bharatiya Janta Party,1710775,1043040,0.61,135311,0.13,2014
Udhampur,GEN,Jammu & Kashmir,Dr. Jitendra Singh,Bharatiya Janta Party,1490244,1041758,0.699,60976,0.059,2014
Udupi Chikmagalur,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,1387295,1034108,0.745,181643,0.176,2014
Ujiarpur,GEN,Bihar,Nityanand Rai,Bharatiya Janta Party,1428445,858920,0.601,60469,0.07,2014
Uttara Kannada,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1450599,1001038,0.69,140700,0.141,2014
Vadodara,GEN,Gujarat,Narendra Modi,Bharatiya Janta Party,1638321,1161577,0.709,570128,0.491,2014
Valmiki Nagar,GEN,Bihar,Satish Chandra Dubey,Bharatiya Janta Party,1456576,900114,0.618,117793,0.131,2014
Vidisha,GEN,Madhya Pradesh,Sushma Swaraj,Bharatiya Janta Party,1634370,1073473,0.657,410698,0.383,2014
Visakhapatnam,GEN,Andhra Pradesh,Kambhampati Hari Babu,Bharatiya Janta Party,1723037,1163558,0.675,90488,0.078,2014
Wardha,GEN,Maharashtra,Ramdas Chandrabhanji Tadas,Bharatiya Janta Party,1564553,1013445,0.648,215783,0.213,2014
West Delhi,GEN,Delhi,Parvesh Sahib Singh Verma,Bharatiya Janta Party,2039410,1347971,0.661,268586,0.199,2014
Ahmadnagar,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,1793677,1203797,0.673,281474,0.234,2019
Ahmedabad East,GEN,Gujarat,Patel Hasmukhbhai Somabhai,Bharatiya Janta Party,1713598,1116367,0.657,434330,0.389,2019
Ajmer,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,1844532,1262214,0.69,416424,0.33,2019
Akola,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1757645,1119440,0.642,275596,0.246,2019
Alwar,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,2059180,1265674,0.617,329971,0.261,2019
Amreli,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1602346,909167,0.578,201431,0.222,2019
Anand,GEN,Gujarat,Patel Mitesh Rameshbhai (BAKABHAI),Bharatiya Janta Party,1614307,1108661,0.698,197718,0.178,2019
Araria,GEN,Bihar,Pradeep Kumar Singh,Bharatiya Janta Party,1469717,1169630,0.81,137241,0.117,2019
Arrah,GEN,Bihar,R. K. Singh,Bharatiya Janta Party,2055316,1080684,0.536,147285,0.136,2019
Asansol,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,1770467,1238135,0.708,197637,0.16,2019
Aurangabad,GEN,Bihar,Sushil Kumar Singh,Bharatiya Janta Party,1737821,941595,0.555,72607,0.077,2019
Bagalkot,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1688394,1204613,0.72,168187,0.14,2019
Balaghat,GEN,Madhya Pradesh,Dr Dhal Singh Bisen,Bharatiya Janta Party,1725505,1372018,0.798,242066,0.176,2019
Balasore,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,1471650,1157871,0.792,12956,0.011,2019
Balurghat,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,1543162,1197849,0.785,33293,0.028,2019
Banaskantha,GEN,Gujarat,Parbatbhai Savabhai Patel,Bharatiya Janta Party,1512076,1102081,0.737,368296,0.334,2019
Bangalore Cent,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,2165307,1197234,0.558,70968,0.059,2019
Bangalore Nort,GEN,Karnataka,D.V. Sadananda Gowda,Bharatiya Janta Party,2819424,1559459,0.557,147518,0.095,2019
Bangalore Sout,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,2175375,1188491,0.551,331192,0.279,2019
Bankura,GEN,West Bengal,Dr. Subhas Sarkar,Bharatiya Janta Party,1770248,1371855,0.783,174333,0.127,2019
Bargarh,GEN,Orissa,Suresh Pujari,Bharatiya Janta Party,1530044,1247912,0.825,63939,0.051,2019
Barmer,GEN,Rajasthan,Kailash Choudhary,Bharatiya Janta Party,2320339,1422271,0.621,323808,0.228,2019
Barrackpore,GEN,West Bengal,Arjun Singh,Bharatiya Janta Party,1551157,1104517,0.72,14857,0.013,2019
Beed,GEN,Maharashtra,Pritam Gopinathrao Munde,Bharatiya Janta Party,1621102,1352399,0.836,168368,0.124,2019
Begusarai,GEN,Bihar,Giriraj Singh,Bharatiya Janta Party,1942769,1225594,0.641,422217,0.344,2019
Belgaum,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1749746,1205229,0.691,391304,0.325,2019
Bhandara - Gon,GEN,Maharashtra,Sunil Baburao Mendhe,Bharatiya Janta Party,1756518,1244931,0.715,197394,0.159,2019
Bharuch,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1522113,1149725,0.76,334214,0.291,2019
Bhavnagar,GEN,Gujarat,Dr.Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,1734124,1041279,0.61,329519,0.316,2019
Bhilwara,GEN,Rajasthan,Subhash Chandra Baheria,Bharatiya Janta Party,1958631,1310513,0.678,612000,0.467,2019
Bhiwandi,GEN,Maharashtra,Kapil Moreshwar Patil,Bharatiya Janta Party,1785952,1005172,0.572,156329,0.156,2019
Bhiwani-Mahend,GEN,Haryana,Dharambir Singh S/o Bhale Ram,Bharatiya Janta Party,1566494,1161115,0.743,444463,0.383,2019
Bhopal,GEN,Madhya Pradesh,Sadhvi Pragya Singh Thakur,Bharatiya Janta Party,2075376,1407954,0.681,364822,0.259,2019
Bhubaneswar,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,1600900,1005215,0.632,23839,0.024,2019
Bidar,GEN,Karnataka,Bhagwanth Khuba,Bharatiya Janta Party,1740232,1117167,0.643,116834,0.105,2019
Bilaspur,GEN,Chhattisgarh,Arun Sao,Bharatiya Janta Party,1811606,1209434,0.67,141763,0.117,2019
Bolangir,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,1677774,1306705,0.788,19516,0.015,2019
Burdwan - Durg,GEN,West Bengal,S.S Ahluwalia,Bharatiya Janta Party,1905750,1433007,0.762,2439,0.002,2019
Buxar,GEN,Bihar,Ashwini Kumar Choubey,Bharatiya Janta Party,1806004,986861,0.556,117609,0.119,2019
Chandigarh,GEN,Chandigarh,Kirron Kher,Bharatiya Janta Party,615214,456568,0.749,46970,0.103,2019
Chandni Chowk,GEN,Delhi,"Patni, Nitai Chand",Bharatiya Janta Party,1447228,980390,0.681,228145,0.233,2019
Chatra,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,1375612,925937,0.679,377871,0.408,2019
Chikkballapur,GEN,Karnataka,B.N.Bache Gowda,Bharatiya Janta Party,1804143,1386963,0.773,182110,0.131,2019
Chikkodi,GEN,Karnataka,Annasaheb Shankar Jolle,Bharatiya Janta Party,1574203,1217549,0.78,118877,0.098,2019
Chittorgarh,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,1982095,1458760,0.745,576247,0.395,2019
Churu,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,1962475,1328422,0.682,334402,0.252,2019
Dakshina Kanna,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,1698859,1345039,0.796,274621,0.204,2019
Daman And Diu,GEN,Daman & Diu,Lalubhai Babubhai Patel,Bharatiya Janta Party,111827,87469,0.796,9942,0.114,2019
Damoh,GEN,Madhya Pradesh,Prahalad Singh Patel,Bharatiya Janta Party,1737702,1164226,0.674,353411,0.304,2019
Darbhanga,GEN,Bihar,Gopal Jee Thakur,Bharatiya Janta Party,1644671,964996,0.599,267979,0.278,2019
Darjeeling,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,1519531,1267270,0.841,413443,0.326,2019
Davanagere,GEN,Karnataka,G M Siddeshwar,Bharatiya Janta Party,1613781,1194586,0.742,169702,0.142,2019
Dhanbad,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,2050314,1252817,0.613,486194,0.388,2019
Dharwad,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,1687290,1213505,0.721,205072,0.169,2019
Dhule,GEN,Maharashtra,Bhamre Subhash Ramrao,Bharatiya Janta Party,1787801,1085038,0.608,229243,0.211,2019
Dibrugarh,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,1265748,1015748,0.819,364566,0.359,2019
Durg,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,1878677,1391996,0.743,391978,0.282,2019
East Delhi,GEN,Delhi,Jadunandan Prasad,Bharatiya Janta Party,1829578,1257821,0.69,391222,0.311,2019
Faridabad,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,1926323,1327295,0.692,638239,0.481,2019
Gandhinagar,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,1874564,1284090,0.693,557014,0.434,2019
Garhwal,GEN,Uttarakhand,Tirath Singh Rawat,Bharatiya Janta Party,1295238,742784,0.583,302669,0.407,2019
Gauhati,GEN,Assam,Queen Oja,Bharatiya Janta Party,1930145,1763757,0.919,345606,0.196,2019
Godda,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,1683948,1194036,0.72,184227,0.154,2019
Guna,GEN,Madhya Pradesh,"Krishna Pal Singh ""dr. K. P. Yadav""",Bharatiya Janta Party,1631451,1178423,0.73,125549,0.107,2019
Gurdaspur,GEN,Punjab,Sunny Deol,Bharatiya Janta Party,1535937,1103887,0.725,82459,0.075,2019
Gurgaon,GEN,Haryana,Rao Inderjit Singh,Bharatiya Janta Party,1990711,1446509,0.729,386256,0.267,2019
Gwalior,GEN,Madhya Pradesh,Vivek Narayan Shejwalkar,Bharatiya Janta Party,1938511,1196096,0.62,146842,0.123,2019
Hamirpur,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1247699,988765,0.799,399572,0.404,2019
Hardwar,GEN,Uttarakhand,Ramesh Pokhriyal 'nishank',Bharatiya Janta Party,1785889,1271030,0.715,258729,0.204,2019
Haveri,GEN,Karnataka,Udasi. S.C.,Bharatiya Janta Party,1680025,1266679,0.758,140882,0.111,2019
Hazaribagh,GEN,Jharkhand,Jayant Sinha,Bharatiya Janta Party,1518831,1080929,0.717,479548,0.444,2019
Hisar,GEN,Haryana,Brijendra Singh,Bharatiya Janta Party,1558281,1179869,0.759,314068,0.266,2019
Hooghly,GEN,West Bengal,Locket Chatterjee,Bharatiya Janta Party,1373449,1457842,1.071,73362,0.05,2019
Hoshangabad,GEN,Madhya Pradesh,Uday Pratap Singh,Bharatiya Janta Party,1650087,1265869,0.778,553682,0.437,2019
Indore,GEN,Madhya Pradesh,Shankar Lalwani,Bharatiya Janta Party,2235342,1629108,0.731,547754,0.336,2019
Inner Manipur,GEN,Manipur,Dr Rajkumar Ranjan Singh,Bharatiya Janta Party,855359,759301,0.891,17755,0.023,2019
Jabalpur,GEN,Madhya Pradesh,Rakesh Singh,Bharatiya Janta Party,1767369,1263573,0.717,454744,0.36,2019
Jaipur,GEN,Rajasthan,Ramcharan Bohra,Bharatiya Janta Party,2043881,1456404,0.716,430626,0.296,2019
Jaipur Rural,GEN,Rajasthan,Col. Rajyavardhan Rathore,Bharatiya Janta Party,1897332,1276693,0.678,393171,0.308,2019
Jalgaon,GEN,Maharashtra,Unmesh Bhaiyyasaheb Patil,Bharatiya Janta Party,1845368,1088277,0.595,411617,0.378,2019
Jalna,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,1765712,1208139,0.693,332815,0.275,2019
Jalore,GEN,Rajasthan,Devaji Patel,Bharatiya Janta Party,1600603,1361619,0.862,261110,0.192,2019
Jamnagar,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1615693,1010965,0.631,236804,0.234,2019
Jamshedpur,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1658549,1144226,0.693,302090,0.264,2019
Jhalawar-Baran,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,1863755,1369868,0.744,453928,0.331,2019
Jhunjhunu,GEN,Rajasthan,Narendra Kumar,Bharatiya Janta Party,1869883,1198927,0.646,302547,0.252,2019
Jodhpur,GEN,Rajasthan,Gajendra Singh Shekhawat,Bharatiya Janta Party,1888942,1346243,0.719,274440,0.204,2019
Jorhat,GEN,Assam,Topon Kumar Gogoi,Bharatiya Janta Party,1319952,1057965,0.811,82653,0.078,2019
Junagadh,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1576209,1005224,0.648,150185,0.149,2019
Kalahandi,GEN,Orissa,Basanta Kumar Panda,Bharatiya Janta Party,1563160,1228292,0.799,26814,0.022,2019
Kangra,GEN,Himachal Pradesh,Kishan Kapoor,Bharatiya Janta Party,1258601,1006989,0.809,477623,0.474,2019
Karimnagar,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,1544460,1147697,0.748,89508,0.078,2019
Karnal,GEN,Haryana,Sanjay Bhatia,Bharatiya Janta Party,1821231,1300722,0.717,656142,0.504,2019
Khajuraho,GEN,Madhya Pradesh,V.D. Sharma (VISHNU DATT SHARMA),Bharatiya Janta Party,1801044,1257783,0.704,492382,0.391,2019
Khandwa,GEN,Madhya Pradesh,Nandkumar Singh Chouhan (NANDU BHAIYA),Bharatiya Janta Party,1849606,1468138,0.802,273343,0.186,2019
Kheda,GEN,Gujarat,Chauhan Devusinh,Bharatiya Janta Party,1697520,1098633,0.658,367145,0.334,2019
Kodarma,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,1765156,1209541,0.703,455600,0.377,2019
Koppal,GEN,Karnataka,Karadi Sanganna Amarappa,Bharatiya Janta Party,1706900,1190347,0.704,38397,0.032,2019
Kota,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,1900514,1367034,0.726,279677,0.205,2019
Kurukshetra,GEN,Haryana,Nayab Singh,Bharatiya Janta Party,1579115,1230202,0.781,384591,0.313,2019
Lakhimpur,GEN,Assam,Pradan Baruah,Bharatiya Janta Party,1621466,1283589,0.801,350551,0.273,2019
Madha,GEN,Maharashtra,Ranjeetsinha Hindurao Naik- Nimbalkar,Bharatiya Janta Party,1825200,1216319,0.668,85764,0.071,2019
Madhubani,GEN,Bihar,Ashok Kumar Yadav,Bharatiya Janta Party,1780846,963708,0.544,454940,0.472,2019
Maharajganj,GEN,Bihar,"Janardan Singh 'sigriwal""",Bharatiya Janta Party,1793406,972703,0.555,230772,0.237,2019
Mahasamund,GEN,Chhattisgarh,Chunni Lal Sahu,Bharatiya Janta Party,1613418,1222335,0.771,90511,0.074,2019
Mahesana,GEN,Gujarat,Shardaben Anilbhai Patel,Bharatiya Janta Party,1607923,1081938,0.68,281519,0.26,2019
Maldaha Uttar,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,1569035,1354706,0.869,84288,0.062,2019
Mandi,GEN,Himachal Pradesh,Ram Swaroop Sharma,Bharatiya Janta Party,1150408,941371,0.823,405459,0.431,2019
Mandsour,GEN,Madhya Pradesh,Sudheer Gupta,Bharatiya Janta Party,1714857,1370667,0.805,376734,0.275,2019
Mangaldoi,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,1723812,1506107,0.884,138545,0.092,2019
Medinipur,GEN,West Bengal,Dilip Ghosh,Bharatiya Janta Party,1815330,1409815,0.785,88952,0.063,2019
Morena,GEN,Madhya Pradesh,Narendra Singh Tomar,Bharatiya Janta Party,1739025,1137290,0.655,113341,0.1,2019
Mumbai North,GEN,Maharashtra,Gopal Shetty,Bharatiya Janta Party,1563706,989759,0.641,465247,0.47,2019
Mumbai North Central,GEN,Maharashtra,Poonam Mahajan,Bharatiya Janta Party,1610246,901784,0.567,130005,0.144,2019
Mumbai North East,GEN,Maharashtra,Manoj Kotak,Bharatiya Janta Party,1527514,908993,0.603,226486,0.249,2019
Muzaffarpur,GEN,Bihar,Ajay Nishad,Bharatiya Janta Party,1710868,1058086,0.624,409988,0.387,2019
Mysore,GEN,Karnataka,Prathap Simha,Bharatiya Janta Party,1873063,1318041,0.707,138647,0.105,2019
Nagpur,GEN,Maharashtra,Nitin Jairam Gadkari,Bharatiya Janta Party,2060047,1186051,0.578,216009,0.182,2019
Nainital-Udham,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,1754749,1258570,0.723,339096,0.269,2019
Nanded,GEN,Maharashtra,Prataprao Patil Chikhalikar,Bharatiya Janta Party,1632971,1129350,0.695,40148,0.036,2019
Navsari,GEN,Gujarat,C. R. Patil,Bharatiya Janta Party,1904607,1308018,0.692,689668,0.527,2019
New Delhi,GEN,Delhi,Durga Prasad Pande,Bharatiya Janta Party,1490147,920541,0.622,256504,0.279,2019
Nizamabad,GEN,Telangana,Arvind Dharmapuri,Bharatiya Janta Party,1445388,1062768,0.737,70875,0.067,2019
North East Delhi,GEN,Delhi,"Goswami, Sukadev",Bharatiya Janta Party,1957707,1461475,0.749,366102,0.251,2019
North Goa,GEN,Goa,Shripad Yesso Naik,Bharatiya Janta Party,545009,428628,0.799,80247,0.187,2019
Pali,GEN,Rajasthan,P. P. Chaudhary,Bharatiya Janta Party,2105101,1359799,0.653,481597,0.354,2019
Panchmahal,GEN,Gujarat,Ratansinh Magansinh Rathod,Bharatiya Janta Party,1696054,1083676,0.651,428541,0.395,2019
Paschim Champaran,GEN,Bihar,Dr. Sanjay Jaiswal,Bharatiya Janta Party,1606271,1012936,0.659,293906,0.29,2019
Pataliputra,GEN,Bihar,Ram Kripal Yadav,Bharatiya Janta Party,1909112,1077749,0.568,39321,0.036,2019
Patan,GEN,Gujarat,Dabhi Bharatsinhji Shankarji,Bharatiya Janta Party,1689822,1126256,0.675,193879,0.172,2019
Patna Sahib,GEN,Bihar,Ravi Shankar Prasad,Bharatiya Janta Party,2136800,982285,0.462,284657,0.29,2019
Porbandar,GEN,Gujarat,Rameshbhai Lavjibhai Dhaduk,Bharatiya Janta Party,1626015,949947,0.589,229823,0.242,2019
Pune,GEN,Maharashtra,Girish Bhalchandra Bapat,Bharatiya Janta Party,1997594,1035236,0.524,324628,0.314,2019
Purulia,GEN,West Bengal,Jyotirmay Singh Mahato,Bharatiya Janta Party,1761215,1355236,0.776,204732,0.151,2019
Purvi Champaran,GEN,Bihar,Radha Mohan Singh,Bharatiya Janta Party,1631187,999400,0.627,293648,0.294,2019
Raiganj,GEN,West Bengal,Debasree Chaudhuri,Bharatiya Janta Party,1531944,1277109,0.843,60574,0.047,2019
Raipur,GEN,Chhattisgarh,Sunil Kumar Soni,Bharatiya Janta Party,2046014,1396250,0.685,348238,0.249,2019
Rajgarh,GEN,Madhya Pradesh,Rodmal Nagar,Bharatiya Janta Party,1649452,1260329,0.77,431019,0.342,2019
Rajkot,GEN,Gujarat,Kundaria Mohanbhai Kalyanjibhai,Bharatiya Janta Party,1839420,1195271,0.66,368407,0.308,2019
Rajnandgaon,GEN,Chhattisgarh,Santosh Pandey,Bharatiya Janta Party,1688647,1307033,0.786,111966,0.086,2019
Rajsamand,GEN,Rajasthan,Diya Kumari,Bharatiya Janta Party,1863749,1239845,0.672,551916,0.445,2019
Ranchi,GEN,Jharkhand,Sanjay Seth,Bharatiya Janta Party,1827355,1235441,0.679,283026,0.229,2019
Raver,GEN,Maharashtra,Khadse Raksha Nikhil,Bharatiya Janta Party,1707838,1092971,0.645,335882,0.307,2019
Rewa,GEN,Madhya Pradesh,Janardan Mishra,Bharatiya Janta Party,1628121,1013251,0.624,312807,0.309,2019
Rohtak,GEN,Haryana,Arvind Kumar Sharma,Bharatiya Janta Party,1638605,1220571,0.747,7503,0.006,2019
Sabarkantha,GEN,Gujarat,Rathod Dipsinh Shankarsinh,Bharatiya Janta Party,1695262,1218354,0.722,268987,0.221,2019
Sagar,GEN,Madhya Pradesh,Rajbahadur Singh,Bharatiya Janta Party,1550731,1037175,0.675,305542,0.295,2019
Sambalpur,GEN,Orissa,Nitesh Ganga Deb,Bharatiya Janta Party,1399694,1124455,0.813,9162,0.008,2019
Sangli,GEN,Maharashtra,Sanjaykaka Patil,Bharatiya Janta Party,1424936,1189958,0.84,164352,0.138,2019
Saran,GEN,Bihar,Rajiv Pratap Rudy,Bharatiya Janta Party,1655736,941656,0.586,138429,0.147,2019
Satna,GEN,Madhya Pradesh,Ganesh Singh,Bharatiya Janta Party,1533662,1113656,0.728,231473,0.208,2019
Secundrabad,GEN,Telangana,G . Kishan Reddy,Bharatiya Janta Party,1890049,915106,0.489,62114,0.068,2019
